path,name,internal_id,relative_path,type,size
/home/tiagoslg/projects/dspace-covemg/DSpace_COVEMG/01._A_COMISSAO_DA_VERDADE_EM_MINAS_GERAIS__HISTORIA_E_ATUACAO/Comissao_da_Verdade_em_Minas_Gerais_2013/Atas_das_reunioes_ordinarias_do_Pleno_2013/Ata_da_1oRreuniao_da_Comisao_da_Verdade_de_Minas_Gerais,Ata_da_01_reuniao_da_Covemg_03.10.13.pdf,166298046351582204581467131207275225293,16/62/98,application/pdf,4456332
/home/tiagoslg/projects/dspace-covemg/DSpace_COVEMG/01._A_COMISSAO_DA_VERDADE_EM_MINAS_GERAIS__HISTORIA_E_ATUACAO/Comissao_da_Verdade_em_Minas_Gerais_2013/Atas_das_reunioes_ordinarias_do_Pleno_2013/Ata_da_1oRreuniao_da_Comisao_da_Verdade_de_Minas_Gerais,license.txt,18896433551253454788649654439027355151,18/89/64,text/plain; charset=utf-8,1748
/home/tiagoslg/projects/dspace-covemg/DSpace_COVEMG/01._A_COMISSAO_DA_VERDADE_EM_MINAS_GERAIS__HISTORIA_E_ATUACAO/Comissao_da_Verdade_em_Minas_Gerais_2013/Atas_das_reunioes_ordinarias_do_Pleno_2013/Ata_da_2o_Reuniao_da_Comissao_da_Verdade_de_Minas_Gerais,Ata_da_02_reuniao_da_Covemg_10.10.13.pdf,1756813454399234698676496502346271072,17/56/81,application/pdf,6422997
/home/tiagoslg/projects/dspace-covemg/DSpace_COVEMG/01._A_COMISSAO_DA_VERDADE_EM_MINAS_GERAIS__HISTORIA_E_ATUACAO/Comissao_da_Verdade_em_Minas_Gerais_2013/Atas_das_reunioes_ordinarias_do_Pleno_2013/Ata_da_2o_Reuniao_da_Comissao_da_Verdade_de_Minas_Gerais,license.txt,14220088379777384387966341887352750601,14/22/00,text/plain; charset=utf-8,1748
/home/tiagoslg/projects/dspace-covemg/DSpace_COVEMG/01._A_COMISSAO_DA_VERDADE_EM_MINAS_GERAIS__HISTORIA_E_ATUACAO/Comissao_da_Verdade_em_Minas_Gerais_2013/Atas_das_reunioes_ordinarias_do_Pleno_2013/Ata_da_3o_Reuniao_da_Comissao_da_Verdade_em_Minas_Gerais,Ata_da_03_reuniao_da_Covemg_17.10.13.pdf,26460972056632795475207456705289357056,26/46/09,application/pdf,4528648
/home/tiagoslg/projects/dspace-covemg/DSpace_COVEMG/01._A_COMISSAO_DA_VERDADE_EM_MINAS_GERAIS__HISTORIA_E_ATUACAO/Comissao_da_Verdade_em_Minas_Gerais_2013/Atas_das_reunioes_ordinarias_do_Pleno_2013/Ata_da_3o_Reuniao_da_Comissao_da_Verdade_em_Minas_Gerais,license.txt,148522321098912899504528767580605657372,14/85/22,text/plain; charset=utf-8,1748
/home/tiagoslg/projects/dspace-covemg/DSpace_COVEMG/01._A_COMISSAO_DA_VERDADE_EM_MINAS_GERAIS__HISTORIA_E_ATUACAO/Comissao_da_Verdade_em_Minas_Gerais_2013/Atas_das_reunioes_ordinarias_do_Pleno_2013/Ata_da_4o_Reuniao_da_Comissao_da_Verdade_em_Minas_Gerais,Ata_da_04_reuniao_da_Covemg_24.10.13.pdf,75507914105723926161404091176717491894,75/50/79,application/pdf,2765393
/home/tiagoslg/projects/dspace-covemg/DSpace_COVEMG/01._A_COMISSAO_DA_VERDADE_EM_MINAS_GERAIS__HISTORIA_E_ATUACAO/Comissao_da_Verdade_em_Minas_Gerais_2013/Atas_das_reunioes_ordinarias_do_Pleno_2013/Ata_da_4o_Reuniao_da_Comissao_da_Verdade_em_Minas_Gerais,license.txt,9167242229585139844971753314968875334,91/67/24,text/plain; charset=utf-8,1748
/home/tiagoslg/projects/dspace-covemg/DSpace_COVEMG/01._A_COMISSAO_DA_VERDADE_EM_MINAS_GERAIS__HISTORIA_E_ATUACAO/Comissao_da_Verdade_em_Minas_Gerais_2013/Atas_das_reunioes_ordinarias_do_Pleno_2013/Ata_da_5o_Reuniao_da_Comissao_da_Verdade_em_Minas_Gerais,Ata_da_05_reuniao_da_Covemg_31.10.13.pdf,87280747028630594907932147109784765718,87/28/07,application/pdf,2153227
/home/tiagoslg/projects/dspace-covemg/DSpace_COVEMG/01._A_COMISSAO_DA_VERDADE_EM_MINAS_GERAIS__HISTORIA_E_ATUACAO/Comissao_da_Verdade_em_Minas_Gerais_2013/Atas_das_reunioes_ordinarias_do_Pleno_2013/Ata_da_5o_Reuniao_da_Comissao_da_Verdade_em_Minas_Gerais,license.txt,71903400233006774176337155332488298399,71/90/34,text/plain; charset=utf-8,1748
